name,parseDate,price,search_city,url
"Дротаверина г/х 0,04 мг № 10 табл",2023-03-28,85, Алматы,https://europharma.kz/drotaverina-gkh-004-mg-no-10-tabl
Аджисепт со вкусом апельсина № 24 леденцы,2023-03-28,1 043, Алматы,https://europharma.kz/adzhisept-so-vkusom-apelsina-no-24-ledentsy
Пан 40 мг № 20 табл покрытые оболочкой,2023-03-28,2 066, Алматы,https://europharma.kz/pan-40-mg-no-20-tabl-pokrytyye-obolochkoy
Назоферон 100000 МЕ/мл 5 мл спрей назальный,2023-03-28,3 398, Алматы,https://europharma.kz/nazoferon-100000-meml-5-ml-sprey-nazalnyy
Сертозин раствор д/инъекций 1000 мг/4 мл № 5 амп,2023-03-28,12 283, Алматы,https://europharma.kz/sertozin-rastvor-dinyektsiy-1000-mg4-ml-no-5-amp
Метронидазол 250 мг № 30 табл,2023-03-28,451, Алматы,https://europharma.kz/metronidazol-250-mg-no-30-tabl
"Тригрим 2,5 мг № 30 табл.",2023-03-28,1 779, Алматы,https://europharma.kz/trigrim-25-mg-no-30-tabl
Линкас Лор № 16 табл.д/рассасыв-я мята,2023-03-28,586, Алматы,https://europharma.kz/linkas-lor-no-16-tabldrassasyv-ya-myata
"Карвидил 25 мг, № 28, табл.",2023-03-28,5 268, Алматы,https://europharma.kz/karvidil-25-mg-no-28-tabl
Трибестан 250 мг № 60 табл п/плён оболоч,2023-03-28,10 680, Алматы,https://europharma.kz/tribestan-250-mg-no-60-tabl-pplen-oboloch
Аргентокеа Мята 25 мл спрей для горла,2023-03-28,3 607, Алматы,https://europharma.kz/argentokea-myata-25-ml-sprey-dlya-gorla
Левояпс 5мг/мл 5 мл  капли глазные и ушные,2023-03-28,2 509, Алматы,https://europharma.kz/levoyaps-5mgml-5-ml-kapli-glaznyye-i-ushnyye
Тромбопол 150мг № 30 табл покр кишечнораст оболочкой,2023-03-28,488, Алматы,https://europharma.kz/trombopol-150mg-no-30-tabl-pokr-kishechnorast-obolochkoy
Экзодерил 10 мл раствор,2023-03-28,4 141, Алматы,https://europharma.kz/ekzoderil-10-ml-rastvor
Нимесулид 100 мг № 20 табл,2023-03-28,620, Алматы,https://europharma.kz/nimesulid-100-mg-no-20-tabl
"Карвидил 12,5 мг, № 28, табл.",2023-03-28,3 532, Алматы,https://europharma.kz/karvidil-125-mg-no-28-tabl
Сиспрес 500 мг № 10 табл п/плён оболоч,2023-03-28,1 285, Алматы,https://europharma.kz/sispres-500-mg-no-10-tabl-pplen-oboloch
"Пиколакс 7,5  мг № 10 табл",2023-03-28,1 672, Алматы,https://europharma.kz/pikolaks-75-mg-no-10-tabl
Капсикам д/наруж применения 30 гр мазь,2023-03-28,3 030, Алматы,https://europharma.kz/kapsikam-dnaruzh-primeneniya-30-gr-maz
Линкас Лор № 16 табл.д/рассасыв-я мёд-лимон,2023-03-28,569, Алматы,https://europharma.kz/linkas-lor-no-16-tabldrassasyv-ya-med-limon
Сиалис 20 мг № 2 табл,2023-03-28,15 207, Алматы,https://europharma.kz/sialis-20-mg-no-2-tabl
Индометацин-Софарма 25 мг № 30 табл,2023-03-28,342, Алматы,https://europharma.kz/indometatsin-sofarma-25-mg-no-30-tabl
Нимесил 2 гр № 30 пакетики,2023-03-28,4 614, Алматы,https://europharma.kz/nimesil-2-gr-no-30-paketiki
Броцевин  сироп 150 мл,2023-03-28,4 506, Алматы,https://europharma.kz/brocevin-sirop-150-ml
Монтемак 10мг №30,2023-03-28,4 413, Алматы,https://europharma.kz/montemak-10mg-no30
Фестал Н № 20 табл,2023-03-28,802, Алматы,https://europharma.kz/festal-n-no-20-tabl
Инсти со вкусом лимона № 5 пакетики,2023-03-28,729, Алматы,https://europharma.kz/insti-so-vkusom-limona-no-5-paketiki
Диклоберл N 75  3 мл № 5 амп,2023-03-28,2 057, Алматы,https://europharma.kz/dikloberl-n-75-3-ml-no-5-amp
АЦЦ Хот Дринк 3 гр № 6 пакетики,2023-03-28,2 739, Алматы,https://europharma.kz/atsts-khot-drink-3-gr-no-6-paketiki
Циннаризин 25 мг № 50 табл,2023-03-28,320, Алматы,https://europharma.kz/tsinnarizin-25-mg-no-50-tabl
Пантап 40 мг № 28 табл,2023-03-28,3 662, Алматы,https://europharma.kz/pantap-40-mg-no-28-tabl
Вазелиновое масло 25 гр флак,2023-03-28,197, Алматы,https://europharma.kz/vazelinovoye-maslo-25-gr-flak
Сиалис 20 мг № 1 табл,2023-03-28,8 541, Алматы,https://europharma.kz/sialis-20-mg-no-1-tabl
Контролок Контрол 20 мг № 14 табл покр кишечнораст оболочкой,2023-03-28,2 085, Алматы,https://europharma.kz/kontrolok-kontrol-20-mg-no-14-tabl-pokr-kishechnorast-obolochkoy
Ушные фитосвечи №2,2023-03-28,282, Алматы,https://europharma.kz/ushnyye-fitosvechi-no2-3
Випросал В д/наруж применения 30 г мазь,2023-03-28,2 549, Алматы,https://europharma.kz/viprosal-v-dnaruzh-primeneniya-30-g-maz
Ducray крем-концентрат Kertyol P S O картон 100 мл,2023-03-28,7 151, Алматы,https://europharma.kz/ducray-krem-kontsentrat-kertyol-p-s-o-karton-100-ml
Мезим форте 1000 мг № 20 табл покр кишечнораст оболочкой,2023-03-28,1 962, Алматы,https://europharma.kz/mezim-forte-1000-mg-no-20-tabl-pokr-kishechnorast-obolochkoy
Релиф Ультра № 12 суппозит. ректал.,2023-03-28,4 800, Алматы,https://europharma.kz/relif-ultra-no-12-suppozit-rektal
"Фарестон 20 мг, №30, табл.",2023-03-28,9 753, Алматы,https://europharma.kz/fareston-20-mg-no30-tabl
Аджисепт классический № 24 леденцы,2023-03-28,995, Алматы,https://europharma.kz/adzhisept-klassicheskiy-no-24-ledentsy
"Хепилор 20 мл, спрей для ротовой полости",2023-03-28,2 394, Алматы,https://europharma.kz/hepilor-20-ml-sprej-dla-rotovoj-polosti
